date,people_fully_vaccinated,people_vaccinated,total_vaccinations,location,vaccine,source_url,total_boosters
2020-12-27,3,191,191,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee,
2020-12-28,9,509,509,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee,
2020-12-29,20,876,876,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee,
2020-12-30,35,1889,1889,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee,
2020-12-31,50,2475,2475,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee,
2021-01-01,50,2475,2475,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee,
2021-01-02,51,2505,2505,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee,
2021-01-03,51,2523,2523,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee,
2021-01-04,94,3165,3165,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee,
2021-01-05,128,4975,4977,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee,
2021-01-06,155,6586,6588,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee,
2021-01-07,178,7928,7930,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee,
2021-01-08,219,10142,10144,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee,
2021-01-09,230,10693,10695,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee,
2021-01-10,231,10916,10918,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee,
2021-01-11,264,11765,11767,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee,
2021-01-12,307,13345,13347,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee,
2021-01-13,417,14739,14741,Estonia,Pfizer/BioNTech,https://opendata.digilugu.ee,
2021-01-14,529,16519,16521,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-01-15,569,17800,17802,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-01-16,576,18020,18022,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-01-17,639,18050,18115,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-01-18,1033,18708,19143,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-01-19,1485,19466,20296,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-01-20,2164,20318,21775,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-01-21,2905,21834,23938,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-01-22,3234,23066,25433,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-01-23,3251,23321,25691,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-01-24,3255,23482,25852,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-01-25,3919,23856,26877,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-01-26,5562,24598,29237,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-01-27,7069,25237,31358,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-01-28,8487,26308,33807,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-01-29,10479,27528,36981,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-01-30,11033,27794,37798,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-01-31,11318,28079,38336,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-02-01,12199,28798,39901,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-02-02,13722,30043,42624,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-02-03,15198,31703,45702,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-02-04,16868,33746,49272,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-02-05,18379,35295,52287,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-02-06,18536,35702,52835,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-02-07,18585,35712,52893,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-02-08,19193,36709,54476,Estonia,"Moderna, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-02-09,20060,38986,57579,Estonia,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-02-10,21000,41576,61064,Estonia,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-02-11,22310,44332,65056,Estonia,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-02-12,23140,45864,67357,Estonia,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-02-13,23294,45996,67639,Estonia,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-02-14,23353,45998,67700,Estonia,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-02-15,23608,46616,68535,Estonia,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-02-16,24193,48445,70909,Estonia,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-02-17,24930,52110,75211,Estonia,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-02-18,26098,57393,81487,Estonia,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-02-19,27197,61165,86229,Estonia,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,
2021-02-20,27450,61752,87035,Estonia,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://opendata.digilugu.ee,
